trip_id,route_id,stop_id,scheduled_seconds,observed_seconds,delay_seconds,timestamp
72188393,40,4060,,80340,0,1766528340
72188393,40,4061,,80400,0,1766528400
72188393,40,6319,,80460,0,1766528460
72188393,40,7481,,80460,0,1766528460
72188393,40,7482,,80520,0,1766528520
72188393,40,7483,,80580,0,1766528580
72188393,40,2935,,80640,0,1766528640
72188393,40,6320,,80640,0,1766528640
72188393,40,6633,,80760,0,1766528760
72188393,40,4072,,80820,0,1766528820
72188393,40,6639,,80880,0,1766528880
72188393,40,6609,,81000,0,1766529000
72188393,40,6581,,81000,0,1766529000
72188393,40,6795,,81000,0,1766529000
72188393,40,6796,,81120,0,1766529120
72188393,40,6492,,81120,0,1766529120
72188393,40,5036,,81300,0,1766529300
72188393,40,9141,,81360,0,1766529360
72188393,40,7022,,81420,0,1766529420
72188393,40,5002,,81480,0,1766529480
72188393,40,8842,,81480,0,1766529480
72188393,40,5012,,81540,0,1766529540
72188393,40,8026,,81600,0,1766529600
72188393,40,5771,,81780,0,1766529780
72188393,40,9903,,81780,0,1766529780
72188393,40,6613,,81840,0,1766529840
72188393,40,2793,,81840,0,1766529840
72188393,40,2654,,81960,0,1766529960
72188393,40,6724,,82020,0,1766530020
72188393,40,5508,,,0,
72188402,40,5735,,86399,0,-1
72188402,40,9400,,80940,0,1766528940
72188402,40,9402,,81000,0,1766529000
72188402,40,2655,,81060,0,1766529060
72188402,40,6610,,81240,0,1766529240
72188402,40,6629,,81300,0,1766529300
72188402,40,8022,,81420,0,1766529420
72188402,40,2933,,81420,0,1766529420
72188402,40,6629,,81480,0,1766529480
72188402,40,5013,,81480,0,1766529480
72188402,40,8021,,81600,0,1766529600
72188402,40,5016,,81720,0,1766529720
72188402,40,5015,,81780,0,1766529780
72188402,40,5014,,81780,0,1766529780
72188402,40,3954,,81840,0,1766529840
72188402,40,7021,,81900,0,1766529900
72188402,40,4842,,81900,0,1766529900
72188402,40,8843,,81960,0,1766529960
72188402,40,5017,,,0,
72188405,40,6492,,79380,0,1766527380
72188405,40,5036,,79500,0,1766527500
72188405,40,9141,,79560,0,1766527560
72188405,40,7022,,79620,0,1766527620
72188405,40,5002,,79680,0,1766527680
72188405,40,8842,,79680,0,1766527680
72188405,40,5012,,79740,0,1766527740
72188405,40,8026,,79800,0,1766527800
72188405,40,5771,,79980,0,1766527980
72188405,40,9903,,79980,0,1766527980
72188405,40,6613,,80040,0,1766528040
72188405,40,2793,,80100,0,1766528100
72188405,40,2654,,80160,0,1766528160
72188405,40,6724,,80280,0,1766528280
72188405,40,5508,,80340,0,1766528340
72188405,40,6646,,80460,0,1766528460
72188405,40,5735,,80460,0,1766528460
72188415,40,8799,,79380,0,1766527380
72188415,40,8802,,79440,0,1766527440
72188415,40,6741,,79440,0,1766527440
72188415,40,4073,,79500,0,1766527500
72188415,40,6631,,79620,0,1766527620
72188415,40,2934,,79680,0,1766527680
72188415,40,7484,,79740,0,1766527740
72188415,40,7485,,79800,0,1766527800
72188415,40,6611,,79920,0,1766527920
72188415,40,6313,,79980,0,1766527980
72188415,40,4062,,79980,0,1766527980
72188415,40,4063,,80040,0,1766528040
72188415,40,4064,,80040,0,1766528040
72188415,40,6731,,80100,0,1766528100
72188415,40,6874,,80220,0,1766528220
72188415,40,6732,,80340,0,1766528340
72188415,40,6733,,80400,0,1766528400
72188415,40,6734,,80400,0,1766528400
72188415,40,6534,,80460,0,1766528460
72188415,40,6535,,80520,0,1766528520
72188415,40,9878,,80640,0,1766528640
72188416,40,9878,,86399,0,-1
72188416,40,6267,,80940,0,1766528940
72188416,40,8298,,81060,0,1766529060
72188416,40,7223,,81120,0,1766529120
72188416,40,6767,,81180,0,1766529180
72188416,40,5973,,81180,0,1766529180
72188416,40,6603,,81240,0,1766529240
72188416,40,8006,,81240,0,1766529240
72188416,40,6737,,81420,0,1766529420
72188416,40,6738,,81480,0,1766529480
72188416,40,7692,,81540,0,1766529540
72188416,40,6875,,81720,0,1766529720
72188416,40,6739,,81960,0,1766529960
72188416,40,6996,,81960,0,1766529960
72188416,40,6317,,82020,0,1766530020
72188416,40,4060,,,0,
72188433,48,4129,,79380,0,1766527380
72188433,48,6858,,79380,0,1766527380
72188433,48,6216,,79440,0,1766527440
72188433,48,4340,,79440,0,1766527440
72188433,48,4339,,79500,0,1766527500
72188433,48,4338,,79560,0,1766527560
72188433,48,6217,,79680,0,1766527680
72188433,48,4337,,79680,0,1766527680
72188433,48,7569,,79800,0,1766527800
72188433,48,7570,,79920,0,1766527920
72188438,48,6211,,80280,0,1766528280
72188438,48,4345,,80400,0,1766528400
72188438,48,4344,,80520,0,1766528520
72188438,48,6212,,80580,0,1766528580
72188438,48,4343,,80700,0,1766528700
72188438,48,6674,,80760,0,1766528760
72188438,48,6213,,80820,0,1766528820
72188438,48,4342,,80880,0,1766528880
72188438,48,6214,,80940,0,1766528940
72188438,48,6962,,81060,0,1766529060
72188438,48,6705,,81180,0,1766529180
72188438,48,6963,,81180,0,1766529180
72188438,48,6964,,81240,0,1766529240
72188438,48,6965,,81300,0,1766529300
72188438,48,6966,,81360,0,1766529360
72188438,48,6967,,81420,0,1766529420
72188438,48,7649,,81480,0,1766529480
72188438,48,7650,,81480,0,1766529480
72188438,48,6706,,81600,0,1766529600
72188438,48,6702,,81660,0,1766529660
72188438,48,6215,,81660,0,1766529660
